1: "Health Potion",
391: "Recovery Glove Right (Blue)",
392: "Recovery Glove Right (Purple)",
393: "Recovery Glove Right (Gold)",
394: "Recovery Glove Left (Blue)",
395: "Recovery Glove Left (Purple)",
396: "Recovery Glove Left (Gold)",
404: "Superior Recovery Necklace",
405: "Recovery Ring",
408: "Minotaur Helmet Ar.29",
412: "Minotaur Hood Ar.16",
413: "Minotaur Hat",
414: "Minotaur Hat Ar.8",
416: "Minotaur Armor",
417: "Minotaur Armor Ar.44",
418: "Minotaur Armor Ar.46",
419: "Minotaur Light Armor",
420: "Minotaur Light Armor Ar.22",
421: "Minotaur Light Armor Ar.23",
422: "Minotaur Robe",
423: "Minotaur Robe Ar.15",
424: "Minotaur Robe Ar.16",
427: "Minotaur Belt Ar.23",
434: "Minotaur Glove Right",
435: "Minotaur Glove Right Ar.15",
436: "Minotaur Glove Right Ar.16",
437: "Minotaur Glove Left",
438: "Minotaur Glove Left Ar.15",
439: "Minotaur Glove Left Ar.16",
440: "Minotaur Backpack",
441: "Minotaur Backpack Ca.66",
442: "Minotaur Backpack Ca.68",
444: "Minotaur Slayer Atk.42",
456: "Training Bow Atk.4",
458: "Destination Scroll",
464: "Key Ring"
